"Mark","Name","Location","Year","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Seats","Price"
"Mercedes-Benz","Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury","Pune",2013,100000,"Diesel","Automatic","First",12,2987,224,7,32
"Audi","Audi Q5 30 TDI quattro Premium Plus","Coimbatore",2016,47293,"Diesel","Automatic","First",14.16,1968,174.3,5,38.72
"BMW","BMW 3 Series Luxury Line","Pune",2016,70000,"Diesel","Automatic","Second",21.76,1995,190,5,27
"Mercedes-Benz","Mercedes-Benz New C-Class C 220 CDI BE Avantgare","Bangalore",2013,25000,"Diesel","Automatic","Second",14.84,2143,167.62,5,21
"BMW","BMW 3 Series 320d GT Luxury Line","Mumbai",2017,8000,"Diesel","Automatic","First",19.59,1995,187.74,5,33.75
"Jaguar","Jaguar XF 2.2 Litre Luxury","Kochi",2015,27001,"Diesel","Automatic","First",16.36,2179,187.7,5,26.52
"Mercedes-Benz","Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance","Pune",2014,100000,"Diesel","Automatic","First",14.21,2143,203,5,25
"Audi","Audi A4 35 TDI Technology Edition","Kochi",2019,38163,"Diesel","Automatic","First",17.11,1968,174.33,5,32.91
"Audi","Audi Q3 35 TDI Quattro Premium Plus","Coimbatore",2017,42366,"Diesel","Automatic","First",15.73,1968,174.33,5,31.93
"BMW","BMW X1 sDrive 20d xLine","Coimbatore",2019,15456,"Diesel","Automatic","First",20.68,1995,190,5,36.64
"BMW","BMW X5 X5 M","Chennai",2017,15000,"Diesel","Automatic","First",15.97,2993,258,5,70
"Mercedes-Benz","Mercedes-Benz New C-Class C 220 CDI Celebration Edition","Kolkata",2016,34000,"Diesel","Automatic","First",11.78,2143,167.62,5,25.5
"BMW","BMW 5 Series 525d Sedan","Hyderabad",2013,93000,"Diesel","Automatic","First",16.73,2993,218,5,26.5
"Audi","Audi A4 2.0 TDI Multitronic","Ahmedabad",2015,13000,"Diesel","Automatic","First",16.55,1968,140,5,23
"BMW","BMW 6 Series 650i Coupe","Kochi",2010,65329,"Petrol","Automatic","First",7.94,4395,450,4,20.72
"Toyota","Toyota Fortuner 4x2 AT","Pune",2015,36000,"Diesel","Automatic","First",12.55,2982,168.5,7,22
"Jaguar","Jaguar XF 2.2 Litre Luxury","Pune",2013,46000,"Diesel","Automatic","Second",16.36,2179,187.7,5,24
"Mercedes-Benz","Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury","Delhi",2015,55000,"Diesel","Automatic","First",12,2987,224,7,52
"Mercedes-Benz","Mercedes-Benz GLA Class 200 CDI SPORT","Kolkata",2015,35000,"Diesel","Automatic","First",17.9,2143,136,5,20.99
"Audi","Audi A4 35 TDI Technology Edition","Hyderabad",2015,30000,"Diesel","Automatic","First",17.11,1968,174.33,5,27
"Toyota","Toyota Fortuner 2.8 2WD MT","Coimbatore",2017,72668,"Diesel","Manual","First",14.24,2755,174.5,7,28.85
"Mercedes-Benz","Mercedes-Benz SLK-Class 55 AMG","Bangalore",2014,3000,"Petrol","Automatic","Second",12,5461,421,2,90
"Jaguar","Jaguar XF Aero Sport Edition","Delhi",2012,16000,"Diesel","Automatic","First",16.36,2179,187.7,5,32
"Land","Land Rover Freelander 2 SE","Pune",2014,85000,"Diesel","Automatic","Second",12.39,2179,147.51,5,23
"Mercedes-Benz","Mercedes-Benz M-Class ML 350 4Matic","Bangalore",2015,20000,"Diesel","Automatic","First",13.51,2987,165,5,47.35
"BMW","BMW X3 xDrive30d M Sport","Bangalore",2016,49000,"Diesel","Automatic","First",16.55,2993,258,5,45
"Mercedes-Benz","Mercedes-Benz SL-Class SL 500","Kolkata",2010,35000,"Petrol","Automatic","First",8.1,5461,387.3,2,29.5
"Audi","Audi Q3 2012-2015 35 TDI Quattro Premium Plus","Delhi",2016,42000,"Diesel","Automatic","First",15.73,1968,174.33,5,23.5
"Ford","Ford Endeavour 2.2 Trend MT 4X4","Kochi",2017,38681,"Diesel","Manual","First",13.5,2198,157.7,7,23.86
"Mini","Mini Cooper Countryman D","Bangalore",2014,35165,"Diesel","Automatic","Second",23.8,1998,112,5,22
"Land","Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic","Hyderabad",2016,52000,"Diesel","Automatic","First",15.68,1999,177,5,42
"Mercedes-Benz","Mercedes-Benz GLA Class 200 CDI","Mumbai",2016,43022,"Diesel","Automatic","First",17.9,2143,136,5,24.85
"Mercedes-Benz","Mercedes-Benz S-Class S 350 d","Bangalore",2011,47140,"Diesel","Automatic","Second",13.5,2925,281.61,5,30
"Mercedes-Benz","Mercedes-Benz B Class B200 CDI","Bangalore",2016,36610,"Diesel","Automatic","First",15,2143,107.3,5,19.9
"Volvo","Volvo V40 D3 R Design","Hyderabad",2015,38000,"Diesel","Automatic","Second",16.8,1969,150,5,24
"BMW","BMW 7 Series 2007-2012 730Ld","Hyderabad",2009,53000,"Diesel","Automatic","First",14.49,2993,258,5,36
"BMW","BMW 3 Series Luxury Line","Kochi",2018,21936,"Diesel","Automatic","First",21.76,1995,190,5,37.92
"Mercedes-Benz","Mercedes-Benz E-Class 2009-2013 E250 CDI Blue Efficiency","Bangalore",2013,48000,"Diesel","Automatic","First",14.21,2143,203,5,22
"Land","Land Rover Freelander 2 SE","Hyderabad",2011,68000,"Diesel","Automatic","First",12.39,2179,147.51,5,22
"Mercedes-Benz","Mercedes-Benz GLA Class 200 Sport Edition","Chennai",2016,28000,"Petrol","Automatic","First",13.7,1991,183,5,26
"Audi","Audi Q5 2008-2012 2.0 TDI","Coimbatore",2013,80127,"Diesel","Automatic","First",12.8,1968,167.6,5,23.68
"BMW","BMW X5 xDrive 30d","Chennai",2009,110000,"Diesel","Automatic","First",11.7,2993,245,5,20
"BMW","BMW 6 Series 630i Coupe","Mumbai",2011,5900,"Petrol","Automatic","First",7.94,4395,450,4,47.5
"Mercedes-Benz","Mercedes-Benz New C-Class C 220 CDI Avantgarde","Mumbai",2015,16329,"Diesel","Automatic","First",19.27,2143,170,5,30.3
"BMW","BMW X3 xDrive20d xLine","Kochi",2017,41816,"Diesel","Automatic","First",18.56,1995,190,5,32.78
"Audi","Audi A4 35 TDI Technology","Hyderabad",2017,14000,"Diesel","Automatic","First",18.25,1968,187.74,5,43
"Mercedes-Benz","Mercedes-Benz New C-Class C 220 CDI Style","Hyderabad",2015,39000,"Diesel","Automatic","First",19.27,2143,167.62,5,34
"Land","Land Rover Range Rover 3.6 TDV8 Vogue SE","Coimbatore",2012,84384,"Diesel","Automatic","First",10.2,4367,308,7,52.54
"Mercedes-Benz","Mercedes-Benz M-Class ML 250 CDI","Hyderabad",2014,50000,"Diesel","Automatic","First",15.26,2143,203.2,5,45
"BMW","BMW Z4 2009-2013 Roadster 2.5i","Kochi",2018,9952,"Petrol","Automatic","First",10.37,2979,306,2,58.54
"Ford","Ford Endeavour 3.2 Titanium AT 4X4","Hyderabad",2018,15000,"Diesel","Automatic","First",10.91,3198,197,7,33
"Mercedes-Benz","Mercedes-Benz GLC 220d 4MATIC Style","Mumbai",2017,24000,"Diesel","Automatic","First",17.9,2143,170,5,46.95
"Mercedes-Benz","Mercedes-Benz M-Class ML 250 CDI","Jaipur",2014,66000,"Diesel","Automatic","First",15.26,2143,203.2,5,30
"Land","Land Rover Discovery Sport TD4 S","Delhi",2017,22000,"Diesel","Automatic","First",12.83,2179,147.5,5,35
"BMW","BMW X5 xDrive 30d","Chennai",2011,55000,"Diesel","Automatic","Second",11.7,2993,245,5,28
"Audi","Audi A6 2011-2015 35 TDI Technology","Hyderabad",2015,50000,"Diesel","Automatic","First",17.68,1968,174.33,5,36
"Audi","Audi Q7 4.2 TDI Quattro Technology","Coimbatore",2015,56238,"Diesel","Automatic","First",11.33,4134,335.2,7,51.69
"Audi","Audi A4 35 TDI Premium Plus","Coimbatore",2014,28469,"Diesel","Automatic","First",18.25,1968,187.74,5,24.37
"Mercedes-Benz","Mercedes-Benz M-Class ML 250 CDI","Mumbai",2012,52000,"Diesel","Automatic","First",15.26,2143,203.2,5,29.95
"Mercedes-Benz","Mercedes-Benz New C-Class C 220 CDI Avantgarde","Coimbatore",2017,26493,"Diesel","Automatic","First",19.27,2143,170,5,33.64
"BMW","BMW 5 Series 2003-2012 525d","Hyderabad",2011,101999,"Diesel","Automatic","First",16.73,1995,218,5,19.99
"BMW","BMW 5 Series 530d M Sport","Hyderabad",2016,27000,"Diesel","Automatic","First",18.59,2993,265,5,48
"BMW","BMW X3 xDrive20d","Bangalore",2016,45165,"Diesel","Automatic","First",16.09,1995,184,5,41.75
"BMW","BMW X3 xDrive 20d xLine","Kochi",2017,36723,"Diesel","Automatic","First",18.56,1995,190,5,32.57
"Audi","Audi Q7 45 TDI Quattro Technology","Pune",2017,59500,"Diesel","Automatic","First",14.75,2967,245,7,68
"Land","Land Rover Freelander 2 TD4 SE","Hyderabad",2013,46000,"Diesel","Automatic","Second",12.39,2179,115,5,26
"Audi","Audi A4 2.0 TDI 177 Bhp Technology Edition","Bangalore",2014,29000,"Diesel","Automatic","First",17.11,1968,174.33,5,26
"Land","Land Rover Discovery Sport TD4 HSE 7S","Coimbatore",2019,24013,"Diesel","Automatic","First",12.81,1999,148.31,7,56.14
"Audi","Audi A4 2.0 TDI Premium Sport Limited Edition","Coimbatore",2015,44811,"Diesel","Automatic","First",17.11,1968,174.33,5,25.81
"Land","Land Rover Discovery Sport SD4 HSE Luxury 7S","Coimbatore",2019,17201,"Diesel","Automatic","First",12.51,2179,187.7,7,58.91
"Mercedes-Benz","Mercedes-Benz E-Class E 200 CGI","Mumbai",2013,50319,"Petrol","Automatic","First",12,1991,181.03,5,21.95
"Mercedes-Benz","Mercedes-Benz New C-Class C 200 Kompressor Elegance AT","Kolkata",2007,43627,"Petrol","Automatic","First",11.74,1796,186,5,29
"BMW","BMW 3 Series 330 Ci Convertible","Delhi",2011,31000,"Petrol","Automatic","First",10.9,2497,215,5,31
"Jaguar","Jaguar XJ 5.0 L V8 Supercharged","Coimbatore",2011,43686,"Petrol","Automatic","First",10.5,5000,503,4,50.66
"Mercedes-Benz","Mercedes-Benz GLC 220d Celebration Edition","Kochi",2017,26192,"Diesel","Automatic","First",17.9,2143,168,5,40.47
"Audi","Audi Q5 2008-2012 2.0 TDI","Delhi",2014,44999,"Diesel","Automatic","First",12.8,1968,167.6,5,25
"Mercedes-Benz","Mercedes-Benz GLE 250d","Hyderabad",2016,50000,"Diesel","Automatic","First",17.9,2143,201.15,5,49
"Mercedes-Benz","Mercedes-Benz GLE 350d","Bangalore",2016,28541,"Diesel","Automatic","First",11.57,2987,254.79,5,60.75
"Toyota","Toyota Fortuner 4x2 Manual","Chennai",2015,99000,"Diesel","Manual","First",13,2982,168.5,7,20.5
"Mercedes-Benz","Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance","Delhi",2014,42000,"Diesel","Automatic","First",14.21,2143,203,5,24.95
"Audi","Audi Q7 3.0 TDI quattro","Coimbatore",2014,118218,"Diesel","Automatic","First",12.07,2967,241.4,7,31.41
"Audi","Audi Q3 2.0 TDI","Mumbai",2013,60000,"Diesel","Automatic","First",15.73,1968,174.33,5,22
"Mercedes-Benz","Mercedes-Benz CLA 200 CDI Sport","Kochi",2019,20483,"Diesel","Automatic","First",17.9,2143,136,5,30.3
"Mercedes-Benz","Mercedes-Benz CLA 200 CDI Sport","Jaipur",2017,39000,"Diesel","Automatic","First",17.9,2143,136,5,27
"Ford","Ford Endeavour 2.2 Titanium AT 4X2","Chennai",2019,9000,"Diesel","Automatic","First",12.62,2198,158,7,32.9
"BMW","BMW 3 Series 330d Convertible","Mumbai",2013,49000,"Diesel","Automatic","First",8.2,2993,245,4,29
"Audi","Audi Q5 2.0 TDI","Hyderabad",2013,72000,"Diesel","Automatic","First",14.16,1968,174.3,5,29
"Audi","Audi Q7 3.0 TDI Quattro Premium Plus","Bangalore",2014,45000,"Diesel","Automatic","Second",12.07,2967,241.4,7,37.9
"BMW","BMW 5 Series 2010-2013 530d","Coimbatore",2012,40471,"Diesel","Automatic","Second",16.2,2993,235,5,25.72
"Mercedes-Benz","Mercedes-Benz CLA 200 D Sport Edition","Ahmedabad",2015,13500,"Diesel","Automatic","First",17.9,2143,136,5,25.51
"Ford","Ford Endeavour 3.2 Titanium AT 4X4","Delhi",2018,12000,"Diesel","Automatic","First",10.91,3198,197,7,33.5
"BMW","BMW Z4 2009-2013 35i","Delhi",2011,25000,"Petrol","Automatic","First",10.37,2979,306,2,30
"Mini","Mini Cooper S Carbon Edition","Delhi",2012,18000,"Petrol","Automatic","First",13.6,1598,181,4,22
"Audi","Audi Q7 3.0 TDI Quattro Premium Plus","Coimbatore",2016,31075,"Diesel","Automatic","Second",12.07,2967,241.4,7,49.79
"BMW","BMW 3 Series Luxury Line","Bangalore",2017,21000,"Diesel","Automatic","First",21.76,1995,190,5,35
"Mercedes-Benz","Mercedes-Benz M-Class ML 350 CDI Corporate","Bangalore",2011,54000,"Diesel","Automatic","First",14,2987,224,5,21.99
"Audi","Audi Q5 30 TDI quattro Premium","Mumbai",2015,52000,"Diesel","Automatic","First",14.16,1968,174.3,5,25.49
"Audi","Audi A6 35 TDI Matrix","Chennai",2015,20000,"Diesel","Automatic","First",18.53,1968,187.74,5,35.5
"Ford","Ford Endeavour 3.2 Titanium AT 4X4","Chennai",2017,17000,"Diesel","Automatic","First",10.91,3198,197,7,31
"BMW","BMW 3 Series 320d Luxury Line","Hyderabad",2015,47000,"Diesel","Automatic","First",22.69,1995,190,5,29.5
"Porsche","Porsche Cayenne S Diesel","Coimbatore",2016,65003,"Diesel","Automatic","First",13.6,4134,382,5,67.83
"Audi","Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus","Hyderabad",2013,63716,"Diesel","Automatic","First",15.73,1968,174.33,5,23
"Audi","Audi A4 2.0 TDI 177 Bhp Premium Plus","Bangalore",2014,29063,"Diesel","Automatic","First",17.11,1968,174.33,5,25.75
"BMW","BMW 5 Series 2013-2017 520d Luxury Line","Pune",2014,32000,"Diesel","Automatic","First",18.12,1995,190,5,30.5
"Mercedes-Benz","Mercedes-Benz M-Class ML 350 4Matic","Ahmedabad",2012,66000,"Diesel","Automatic","First",13.51,2987,165,5,23
"Land","Land Rover Range Rover 2.2L Prestige","Delhi",2015,37000,"Diesel","Automatic","First",12.7,2179,187.7,5,36
"Mini","Mini Cooper S Carbon Edition","Mumbai",2013,52000,"Petrol","Automatic","First",13.6,1598,181,4,25
"Audi","Audi Q7 3.0 TDI Quattro Premium Plus","Delhi",2014,58000,"Diesel","Automatic","First",12.07,2967,241.4,7,32
"Land","Land Rover Range Rover 2.2L Pure","Delhi",2014,38999,"Diesel","Automatic","First",12.7,2179,187.7,5,32.5
"Mercedes-Benz","Mercedes-Benz R-Class R350 4Matic Long","Kochi",2014,45710,"Petrol","Automatic","First",11.8,3498,272,7,23.68
"Land","Land Rover Range Rover Vogue SE 4.4 SDV8","Coimbatore",2013,75995,"Diesel","Automatic","Second",11.49,4367,335.3,5,65.81
"BMW","BMW 3 Series Sport","Mumbai",2016,19000,"Diesel","Automatic","Second",21.76,1995,190,5,29.99
"Hyundai","Hyundai Santa Fe 4x4 AT","Bangalore",2016,36000,"Diesel","Automatic","First",11.72,2199,194.3,7,23
"Ford","Ford Endeavour 3.2 Titanium AT 4X4","Coimbatore",2017,54650,"Diesel","Automatic","First",10.91,3198,197,7,30.35
"Mercedes-Benz","Mercedes-Benz GLA Class 200 d Style","Kochi",2016,26212,"Diesel","Automatic","First",17.9,2143,136,5,24.46
"Mercedes-Benz","Mercedes-Benz E-Class Facelift","Bangalore",2014,28000,"Diesel","Automatic","First",13,2987,258,5,31.75
"Audi","Audi A6 2011-2015 35 TDI Technology","Bangalore",2015,37500,"Diesel","Automatic","First",17.68,1968,174.33,5,32
"Mercedes-Benz","Mercedes-Benz S Class 2005 2013 S 350 CDI","Hyderabad",2010,37000,"Diesel","Automatic","First",13.5,2987,282,5,21
"Land","Land Rover Range Rover HSE Dynamic","Kochi",2018,52827,"Diesel","Automatic","First",12.7,2179,187.7,5,44.76
"Porsche","Porsche Cayenne 2009-2014 Diesel","Kochi",2015,47877,"Diesel","Automatic","First",15.15,2967,240,5,48.22
"BMW","BMW X3 xDrive 20d Luxury Line","Mumbai",2018,1400,"Diesel","Automatic","First",18.56,1995,190,5,61.25
"Mini","Mini Cooper 3 DOOR S","Kochi",2016,21110,"Petrol","Automatic","First",17.44,1998,189.08,4,28.95
"Bentley","Bentley Continental Flying Spur","Hyderabad",2006,48000,"Petrol","Automatic","First",8.6,5998,552,4,59
"Mercedes-Benz","Mercedes-Benz New C-Class C 220 CDI BE Avantgare","Bangalore",2016,37944,"Diesel","Automatic","First",14.84,2143,167.62,5,35
"Land","Land Rover Freelander 2 SE","Kochi",2014,59885,"Diesel","Automatic","First",12.39,2179,147.51,5,20.11
"BMW","BMW X6 xDrive 40d M Sport","Ahmedabad",2015,97003,"Diesel","Automatic","First",15.87,2993,308.43,5,85
"Land","Land Rover Discovery Sport SD4 HSE Luxury","Delhi",2016,70000,"Diesel","Automatic","First",12.97,2179,187.7,5,35
"Land","Land Rover Range Rover Sport SE","Delhi",2014,47000,"Diesel","Automatic","Second",12.65,2993,255,5,64.75
"BMW","BMW 5 Series 2013-2017 530d M Sport","Pune",2014,88000,"Diesel","Automatic","First",14.69,2993,258,5,27
"Mercedes-Benz","Mercedes-Benz GLA Class 200 CDI SPORT","Bangalore",2017,16500,"Diesel","Automatic","First",17.9,2143,136,5,34
"BMW","BMW 5 Series 520d Luxury Line","Coimbatore",2016,75637,"Diesel","Automatic","First",22.48,1995,190,5,30.37
"Audi","Audi A4 3.0 TDI Quattro","Bangalore",2014,30000,"Diesel","Automatic","First",14.94,2967,241.4,5,24.5
"BMW","BMW 3 Series 320d Luxury Line","Kochi",2016,62404,"Diesel","Automatic","First",22.69,1995,190,5,21.33
"BMW","BMW 3 Series Luxury Line","Coimbatore",2017,34232,"Diesel","Automatic","First",21.76,1995,190,5,35.84
"Toyota","Toyota Fortuner 2.8 2WD AT","Coimbatore",2019,28069,"Diesel","Automatic","First",12.9,2755,174.5,7,30.85
"Audi","Audi Q5 2008-2012 2.0 TDI","Kochi",2013,12467,"Diesel","Automatic","First",12.8,1968,167.6,5,25.64
"BMW","BMW 5 Series 2013-2017 520d Luxury Line","Jaipur",2013,40714,"Diesel","Automatic","Second",18.12,1995,190,5,24.75
"Mercedes-Benz","Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde","Jaipur",2013,60000,"Diesel","Automatic","First",10,2148,170,5,27
"BMW","BMW X1 xDrive 20d xLine","Delhi",2017,23000,"Diesel","Automatic","First",20.68,1995,190,5,28.75
"Porsche","Porsche Panamera 2010 2013 Diesel","Delhi",2013,36400,"Diesel","Automatic","First",7.5,4806,394.3,4,72
"BMW","BMW 5 Series 520d Sport Line","Delhi",2017,16485,"Diesel","Automatic","First",22.48,1995,187.74,5,42.75
"Mercedes-Benz","Mercedes-Benz CLA 200 D Sport Edition","Coimbatore",2019,15976,"Diesel","Automatic","First",17.9,2143,136,5,36.76
"Mercedes-Benz","Mercedes-Benz S Class 2005 2013 S 300 L","Pune",2013,80000,"Petrol","Automatic","First",13,2987,210,5,25
"Audi","Audi A4 2.0 TDI","Bangalore",2014,37600,"Diesel","Automatic","Second",16.55,1968,147.51,5,22.5
"BMW","BMW 7 Series 730Ld","Chennai",2013,38000,"Diesel","Automatic","First",16.46,2993,258,5,45
"BMW","BMW X1 xDrive 20d xLine","Kochi",2018,30733,"Diesel","Automatic","First",20.68,1995,190,5,29.3
"BMW","BMW X5 xDrive 30d M Sport","Chennai",2017,21000,"Diesel","Automatic","Second",15.97,2993,258,5,55
"Audi","Audi A6 2011-2015 2.0 TDI Premium Plus","Pune",2013,85000,"Diesel","Automatic","First",17.68,1968,174.33,5,21
"Hyundai","Hyundai Santa Fe 4WD AT","Coimbatore",2016,45794,"Diesel","Automatic","First",13.01,2199,194.3,7,20.67
"Mercedes-Benz","Mercedes-Benz E-Class 2015-2017 E250 Edition E","Coimbatore",2018,41467,"Diesel","Automatic","First",15,2143,204,5,37.98
"BMW","BMW 3 Series 320d Prestige","Hyderabad",2015,30000,"Diesel","Automatic","First",18.88,1995,184,5,22
"Toyota","Toyota Fortuner 4x2 AT","Delhi",2015,92000,"Diesel","Automatic","First",12.55,2982,168.5,7,19.75
"Audi","Audi Q7 3.0 TDI Quattro Premium Plus","Coimbatore",2015,55662,"Diesel","Automatic","First",12.07,2967,241.4,7,42.83
"Volvo","Volvo S60 D4 Momentum","Hyderabad",2014,51000,"Diesel","Automatic","First",27.03,1969,190,5,21.5
"BMW","BMW 6 Series Gran Coupe","Mumbai",2013,30000,"Diesel","Automatic","First",17.54,2993,313,4,45
"Audi","Audi A4 2.0 TDI 177 Bhp Premium Plus","Chennai",2014,40000,"Diesel","Automatic","First",17.11,1968,174.33,5,22
"Lamborghini","Lamborghini Gallardo Coupe","Delhi",2011,6500,"Petrol","Automatic","Third",6.4,5204,560,2,120
"Jaguar","Jaguar XF 3.0 Litre S Premium Luxury","Hyderabad",2012,35000,"Diesel","Automatic","First",14.74,2993,270.9,5,29
"Mercedes-Benz","Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde","Coimbatore",2016,41082,"Diesel","Automatic","First",13,2143,204,5,38.76
"Mercedes-Benz","Mercedes-Benz GL-Class 350 CDI Blue Efficiency","Chennai",2013,100000,"Diesel","Automatic","Second",11.3,2987,254.8,7,38
"BMW","BMW 5 Series 525d Sedan","Mumbai",2013,35000,"Diesel","Automatic","First",16.73,2993,218,5,21
"Audi","Audi A6 2011-2015 35 TDI Technology","Coimbatore",2017,55975,"Diesel","Automatic","Second",17.68,1968,174.33,5,35.92
"Toyota","Toyota Fortuner 4x2 Manual","Jaipur",2016,73053,"Diesel","Manual","First",13,2982,168.5,7,20
"Mercedes-Benz","Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury","Mumbai",2015,48600,"Diesel","Automatic","First",12,2987,224,7,48.5
"Skoda","Skoda Superb L&K 2.0 TDI AT","Mumbai",2017,35000,"Diesel","Automatic","First",18.19,1968,174.5,5,25.75
"BMW","BMW 3 Series 330d Convertible","Kochi",2014,51240,"Diesel","Automatic","First",8.2,2993,245,4,29.52
"Mercedes-Benz","Mercedes-Benz E-Class 200 Kompressor Elegance","Delhi",2014,40000,"Petrol","Automatic","First",10.5,1796,157.7,5,24
"Mercedes-Benz","Mercedes-Benz C-Class Progressive C 220d","Ahmedabad",2019,4000,"Diesel","Automatic","First",12.6,1950,194,5,35
"Mercedes-Benz","Mercedes-Benz GLC 220","Coimbatore",2017,50794,"Diesel","Automatic","First",17.9,2143,170,5,43.3
"Toyota","Toyota Fortuner 4x4 AT","Delhi",2015,90000,"Diesel","Automatic","First",12.55,2982,168.5,7,21.5
"Jaguar","Jaguar F Type 5.0 V8 S","Hyderabad",2015,8000,"Petrol","Automatic","First",12.5,5000,488.1,2,100
"Mercedes-Benz","Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde","Mumbai",2016,21000,"Diesel","Automatic","First",13,2143,204,5,36
"Skoda","Skoda Superb Style 2.0 TDI AT","Mumbai",2017,42000,"Diesel","Automatic","First",18.19,1968,174.5,5,22.99
"Audi","Audi Q5 3.0 TDI Quattro Technology","Coimbatore",2018,29091,"Diesel","Automatic","First",13.22,2967,241.4,5,45.52
"BMW","BMW 5 Series 2013-2017 530d M Sport","Bangalore",2016,16000,"Diesel","Automatic","First",14.69,2993,258,5,48
"Audi","Audi Q3 2.0 TDI","Bangalore",2014,65630,"Diesel","Automatic","First",15.73,1968,174.33,5,21.75
"Mercedes-Benz","Mercedes-Benz GLA Class 200 Sport","Kochi",2018,17773,"Petrol","Automatic","First",13.7,1991,183,5,26.76
"Jaguar","Jaguar XF 2.2 Litre Luxury","Kochi",2016,31150,"Diesel","Automatic","First",16.36,2179,187.7,5,30.54
"Porsche","Porsche Panamera Diesel","Hyderabad",2013,40000,"Diesel","Automatic","Second",17.85,2967,300,4,45
"Toyota","Toyota Camry Hybrid","Mumbai",2015,33500,"Petrol","Automatic","First",19.16,2494,158.2,5,19.75
